timestamp,venue,new_articles,error
2021-03-23 18:00:05.651147,guardian,6,
2021-03-23 18:00:06.080973,popsci,0,'DataFrame' object has no attribute 'published'
2021-03-23 18:00:06.449498,healthday,27,
2021-03-23 18:00:07.020113,newsmed,10,
2021-03-23 18:00:08.341007,medpage,19,
2021-03-24 18:00:04.115957,wired,1,
2021-03-24 18:00:04.301493,nyt,10,
2021-03-24 18:00:04.548014,guardian,8,
2021-03-24 18:00:04.945582,popsci,0,'DataFrame' object has no attribute 'published'
2021-03-24 18:00:05.253461,healthday,29,
2021-03-24 18:00:05.682250,newsmed,10,
2021-03-24 18:00:07.153271,medpage,20,
2021-03-25 18:00:04.615143,wired,2,
2021-03-25 18:00:04.788988,nyt,12,
2021-03-25 18:00:05.186109,guardian,12,
2021-03-25 18:00:05.786456,popsci,0,'DataFrame' object has no attribute 'published'
2021-03-25 18:00:06.128338,healthday,30,
2021-03-25 18:00:06.752158,newsmed,10,
2021-03-25 18:00:08.103003,medpage,16,
2021-03-26 18:00:06.894354,wired,5,
2021-03-26 18:00:07.289501,nyt,8,
2021-03-26 18:00:08.022624,guardian,7,
2021-03-26 18:00:08.534640,popsci,0,'DataFrame' object has no attribute 'published'
2021-03-26 18:00:09.415510,healthday,28,
2021-03-26 18:00:10.084571,newsmed,10,
2021-03-26 18:00:10.739570,medpage,14,
2021-03-27 18:00:04.809654,wired,1,
2021-03-27 18:00:05.289370,nyt,3,
2021-03-27 18:00:05.951478,guardian,5,
2021-03-27 18:00:06.515610,popsci,0,'DataFrame' object has no attribute 'published'
2021-03-27 18:00:07.252338,healthday,1,
2021-03-27 18:00:07.637051,newsmed,10,
2021-03-27 18:00:07.898028,medpage,5,
2021-03-28 18:00:08.434131,wired,2,
2021-03-28 18:00:08.654428,nyt,5,
2021-03-28 18:00:09.121868,guardian,9,
2021-03-28 18:00:09.610360,popsci,0,'DataFrame' object has no attribute 'published'
2021-03-28 18:00:10.457717,healthday,1,
2021-03-28 18:00:11.043633,newsmed,3,
2021-03-28 18:00:11.410524,medpage,5,
2021-03-29 14:13:02.872236,wired,2,
2021-03-29 14:13:03.256558,nyt,9,
2021-03-29 14:13:04.034221,guardian,5,
2021-03-29 14:13:04.502472,popsci,7,
2021-03-29 14:13:06.067718,healthday,24,
2021-03-29 14:13:06.624543,newsmed,10,
2021-03-29 14:13:10.437564,medpage,12,
2021-03-29 18:00:03.749221,wired,0,
2021-03-29 18:00:04.150331,nyt,5,
2021-03-29 18:00:04.836472,guardian,1,
2021-03-29 18:00:05.339426,popsci,0,
2021-03-29 18:00:06.076232,healthday,5,
2021-03-29 18:00:06.755261,newsmed,10,
2021-03-29 18:00:07.310638,medpage,4,
2021-03-30 18:00:04.360550,wired,2,
2021-03-30 18:00:10.232913,nyt,12,
2021-03-30 18:00:10.865368,guardian,10,
2021-03-30 18:00:11.414139,popsci,10,
2021-03-30 18:00:12.063313,healthday,27,
2021-03-30 18:00:13.548154,newsmed,10,
2021-03-30 18:00:14.155163,medpage,12,
2021-03-31 18:00:07.529138,wired,3,
2021-03-31 18:00:07.928008,nyt,10,
2021-03-31 18:00:08.527607,guardian,8,
2021-03-31 18:00:09.136055,popsci,0,
2021-03-31 18:00:09.545502,healthday,24,
2021-03-31 18:00:10.410856,newsmed,10,
2021-03-31 18:00:11.359702,medpage,20,
2021-03-31 21:00:03.960839,wired,0,
2021-03-31 21:00:04.365573,nyt,1,
2021-03-31 21:00:04.992684,guardian,0,
2021-03-31 21:00:05.885199,popsci,0,
2021-03-31 21:00:06.522704,healthday,0,
2021-03-31 21:00:07.211591,newsmed,10,
2021-03-31 21:00:07.883997,medpage,0,
2021-03-31 22:00:03.784863,wired,0,
2021-03-31 22:00:03.941963,nyt,0,
2021-03-31 22:00:04.422296,guardian,1,
2021-03-31 22:00:04.839887,popsci,0,
2021-03-31 22:00:05.193497,healthday,0,
2021-03-31 22:00:05.557513,newsmed,3,
2021-03-31 22:00:05.985011,medpage,1,
2021-03-31 23:00:03.424470,wired,0,
2021-03-31 23:00:03.579040,nyt,0,
2021-03-31 23:00:04.400655,guardian,1,
2021-03-31 23:00:04.939311,popsci,0,
2021-03-31 23:00:05.713170,healthday,0,
2021-03-31 23:00:06.421794,newsmed,10,
2021-03-31 23:00:06.956438,medpage,0,
2021-04-01 00:00:03.992423,wired,0,
2021-04-01 00:00:04.153582,nyt,0,
2021-04-01 00:00:04.432785,guardian,0,
2021-04-01 00:00:05.326113,popsci,0,
2021-04-01 00:00:05.681837,healthday,0,
2021-04-01 00:00:06.118063,newsmed,2,
2021-04-01 00:00:06.624692,medpage,0,
2021-04-01 01:00:03.917167,wired,0,
2021-04-01 01:00:04.063434,nyt,0,
2021-04-01 01:00:04.352196,guardian,0,
2021-04-01 01:00:05.241042,popsci,0,
2021-04-01 01:00:05.934706,healthday,0,
2021-04-01 01:00:06.321144,newsmed,0,
2021-04-01 01:00:06.745044,medpage,0,
2021-04-01 02:00:03.367678,wired,0,
2021-04-01 02:00:03.750656,nyt,0,
2021-04-01 02:00:04.382933,guardian,0,
2021-04-01 02:00:04.948598,popsci,0,
2021-04-01 02:00:05.632195,healthday,0,
2021-04-01 02:00:06.436483,newsmed,0,
2021-04-01 02:00:06.902172,medpage,0,
2021-04-01 03:00:03.287096,wired,0,
2021-04-01 03:00:03.467397,nyt,3,
2021-04-01 03:00:05.279116,guardian,1,
2021-04-01 03:00:05.793830,popsci,0,
2021-04-01 03:00:06.477069,healthday,0,
2021-04-01 03:00:07.397254,newsmed,0,
2021-04-01 03:00:07.959445,medpage,0,
2021-04-01 04:00:03.465763,wired,0,
2021-04-01 04:00:03.896695,nyt,1,
2021-04-01 04:00:04.577821,guardian,0,
2021-04-01 04:00:05.135950,popsci,0,
2021-04-01 04:00:05.806569,healthday,0,
2021-04-01 04:00:06.216702,newsmed,4,
2021-04-01 04:00:06.614319,medpage,0,
2021-04-01 05:00:03.224634,wired,1,
2021-04-01 05:00:03.664217,nyt,2,
2021-04-01 05:00:04.007651,guardian,0,
2021-04-01 05:00:04.889233,popsci,0,
2021-04-01 05:00:05.598262,healthday,2,
2021-04-01 05:00:06.037734,newsmed,10,
2021-04-01 05:00:06.869970,medpage,0,
2021-04-01 06:00:03.291888,wired,0,
2021-04-01 06:00:03.446841,nyt,1,
2021-04-01 06:00:04.030083,guardian,0,
2021-04-01 06:00:04.589441,popsci,0,
2021-04-01 06:00:05.213784,healthday,7,
2021-04-01 06:00:05.585927,newsmed,4,
2021-04-01 06:00:06.018165,medpage,0,
2021-04-01 07:00:03.611980,wired,1,
2021-04-01 07:00:03.760815,nyt,2,
2021-04-01 07:00:04.343221,guardian,0,
2021-04-01 07:00:05.227358,popsci,0,
2021-04-01 07:00:05.540970,healthday,1,
2021-04-01 07:00:06.061364,newsmed,0,
2021-04-01 07:00:06.469693,medpage,1,
2021-04-01 08:00:03.014157,wired,0,
2021-04-01 08:00:03.459012,nyt,0,
2021-04-01 08:00:03.766844,guardian,0,
2021-04-01 08:00:04.346873,popsci,0,
2021-04-01 08:00:05.059623,healthday,3,
2021-04-01 08:00:05.450783,newsmed,1,
2021-04-01 08:00:05.960023,medpage,0,
2021-04-01 09:00:03.868325,wired,0,
2021-04-01 09:00:04.309926,nyt,0,
2021-04-01 09:00:04.911560,guardian,0,
2021-04-01 09:00:05.324096,popsci,0,
2021-04-01 09:00:05.854541,healthday,2,
2021-04-01 09:00:06.573375,newsmed,1,
2021-04-01 09:00:07.088895,medpage,2,
2021-04-01 10:00:03.976891,wired,0,
2021-04-01 10:00:04.130036,nyt,0,
2021-04-01 10:00:04.402286,guardian,1,
2021-04-01 10:00:04.922187,popsci,0,
2021-04-01 10:00:05.616067,healthday,2,
2021-04-01 10:00:06.247481,newsmed,1,
2021-04-01 10:00:06.909727,medpage,1,
2021-04-01 11:00:03.653654,wired,1,
2021-04-01 11:00:04.121242,nyt,0,
2021-04-01 11:00:04.735066,guardian,0,
2021-04-01 11:00:05.244090,popsci,0,
2021-04-01 11:00:05.926869,healthday,0,
2021-04-01 11:00:06.701712,newsmed,4,
2021-04-01 11:00:07.300563,medpage,1,
2021-04-01 12:00:03.570905,wired,0,
2021-04-01 12:00:04.030211,nyt,0,
2021-04-01 12:00:04.644414,guardian,1,
2021-04-01 12:00:05.147794,popsci,0,
2021-04-01 12:00:05.874078,healthday,8,
2021-04-01 12:00:06.645004,newsmed,8,
2021-04-01 12:00:07.126251,medpage,2,
2021-04-01 13:00:03.277347,wired,0,
2021-04-01 13:00:03.778458,nyt,0,
2021-04-01 13:00:04.405132,guardian,1,
2021-04-01 13:00:04.926894,popsci,0,
2021-04-01 13:00:05.276912,healthday,1,
2021-04-01 13:00:06.139137,newsmed,0,
2021-04-01 13:00:07.027639,medpage,2,
2021-04-01 14:00:04.174520,wired,0,
2021-04-01 14:00:04.689549,nyt,0,
2021-04-01 14:00:05.113992,guardian,0,
2021-04-01 14:00:05.716834,popsci,0,
2021-04-01 14:00:06.414634,healthday,0,
2021-04-01 14:00:07.136618,newsmed,0,
2021-04-01 14:00:07.678661,medpage,2,
2021-04-01 15:00:02.921650,wired,0,
2021-04-01 15:00:03.464306,nyt,1,
2021-04-01 15:00:04.118132,guardian,2,
2021-04-01 15:00:04.702344,popsci,0,
2021-04-01 15:00:05.027228,healthday,0,
2021-04-01 15:00:06.188455,newsmed,0,
2021-04-01 15:00:06.719684,medpage,2,
2021-04-01 16:00:03.738868,wired,0,
2021-04-01 16:00:04.233470,nyt,2,
2021-04-01 16:00:04.825409,guardian,0,
2021-04-01 16:00:05.718292,popsci,0,
2021-04-01 16:00:06.401448,healthday,3,
2021-04-01 16:00:07.255075,newsmed,0,
2021-04-01 16:00:07.793541,medpage,2,
2021-04-01 17:00:03.204852,wired,0,
2021-04-01 17:00:04.525871,nyt,1,
2021-04-01 17:00:05.348162,guardian,0,
2021-04-01 17:00:06.385337,popsci,0,
2021-04-01 17:00:06.894121,healthday,0,
2021-04-01 17:00:07.359647,newsmed,3,
2021-04-01 17:00:07.841528,medpage,2,
2021-04-01 18:00:03.397784,wired,0,
2021-04-01 18:00:03.841085,nyt,0,
2021-04-01 18:00:04.507669,guardian,0,
2021-04-01 18:00:05.104654,popsci,0,
2021-04-01 18:00:05.778053,healthday,0,
2021-04-01 18:00:06.479464,newsmed,6,
2021-04-01 18:00:07.004689,medpage,0,
2021-04-01 19:00:03.395895,wired,0,
2021-04-01 19:00:03.958917,nyt,0,
2021-04-01 19:00:04.755455,guardian,0,
2021-04-01 19:00:05.396539,popsci,0,
2021-04-01 19:00:05.789590,healthday,0,
2021-04-01 19:00:06.224049,newsmed,5,
2021-04-01 19:00:06.656099,medpage,0,
2021-04-01 20:00:03.113130,wired,0,
2021-04-01 20:00:03.268883,nyt,0,
2021-04-01 20:00:03.542175,guardian,0,
2021-04-01 20:00:04.176300,popsci,0,
2021-04-01 20:00:04.868621,healthday,0,
2021-04-01 20:00:05.745819,newsmed,4,
2021-04-01 20:00:06.232513,medpage,0,
2021-04-01 21:00:02.973205,wired,0,
2021-04-01 21:00:03.456619,nyt,0,
2021-04-01 21:00:04.080327,guardian,0,
2021-04-01 21:00:04.671162,popsci,0,
2021-04-01 21:00:05.403221,healthday,0,
2021-04-01 21:00:06.094168,newsmed,0,
2021-04-01 21:00:06.736529,medpage,0,
2021-04-01 22:00:03.612358,wired,0,
2021-04-01 22:00:03.856856,nyt,0,
2021-04-01 22:00:04.127158,guardian,0,
2021-04-01 22:00:05.029445,popsci,0,
2021-04-01 22:00:05.665969,healthday,0,
2021-04-01 22:00:06.534049,newsmed,2,
2021-04-01 22:00:07.136725,medpage,1,
2021-04-01 23:00:03.388496,wired,0,
2021-04-01 23:00:03.615698,nyt,0,
2021-04-01 23:00:03.962126,guardian,1,
2021-04-01 23:00:04.521582,popsci,0,
2021-04-01 23:00:05.187612,healthday,0,
2021-04-01 23:00:05.672068,newsmed,9,
2021-04-01 23:00:06.273594,medpage,0,
2021-04-02 00:00:07.438025,wired,0,
2021-04-02 00:00:07.830299,nyt,0,
2021-04-02 00:00:08.594026,guardian,0,
2021-04-02 00:00:09.529111,popsci,0,
2021-04-02 00:00:10.183679,healthday,0,
2021-04-02 00:00:10.596698,newsmed,2,
2021-04-02 00:00:11.317959,medpage,0,
2021-04-02 01:00:03.662590,wired,0,
2021-04-02 01:00:04.159172,nyt,0,
2021-04-02 01:00:04.821570,guardian,1,
2021-04-02 01:00:05.845180,popsci,0,
2021-04-02 01:00:06.515487,healthday,0,
2021-04-02 01:00:07.265278,newsmed,4,
2021-04-02 01:00:07.733360,medpage,0,
2021-04-02 02:00:03.601930,wired,0,
2021-04-02 02:00:03.758971,nyt,0,
2021-04-02 02:00:04.085601,guardian,1,
2021-04-02 02:00:05.019829,popsci,0,
2021-04-02 02:00:05.606348,healthday,0,
2021-04-02 02:00:06.329387,newsmed,0,
2021-04-02 02:00:06.909778,medpage,0,
2021-04-02 03:00:03.751300,wired,0,
2021-04-02 03:00:03.907526,nyt,0,
2021-04-02 03:00:04.166548,guardian,1,
2021-04-02 03:00:04.599080,popsci,0,
2021-04-02 03:00:04.944706,healthday,0,
2021-04-02 03:00:05.699387,newsmed,0,
2021-04-02 03:00:06.200828,medpage,0,
2021-04-02 04:00:03.673444,wired,0,
2021-04-02 04:00:04.121918,nyt,0,
2021-04-02 04:00:04.407475,guardian,2,
2021-04-02 04:00:05.318970,popsci,0,
2021-04-02 04:00:05.651227,healthday,0,
2021-04-02 04:00:06.091289,newsmed,1,
2021-04-02 04:00:06.542277,medpage,0,
2021-04-02 05:00:03.338340,wired,0,
2021-04-02 05:00:03.487537,nyt,0,
2021-04-02 05:00:03.837299,guardian,1,
2021-04-02 05:00:04.777583,popsci,0,
2021-04-02 05:00:05.083449,healthday,2,
2021-04-02 05:00:05.520071,newsmed,0,
2021-04-02 05:00:06.022648,medpage,0,
2021-04-02 06:00:03.487603,wired,2,
2021-04-02 06:00:03.923788,nyt,0,
2021-04-02 06:00:04.562108,guardian,1,
2021-04-02 06:00:05.110957,popsci,0,
2021-04-02 06:00:05.979533,healthday,9,
2021-04-02 06:00:06.739790,newsmed,0,
2021-04-02 06:00:07.339412,medpage,0,
2021-04-02 07:00:03.097313,wired,0,
2021-04-02 07:00:05.303552,nyt,0,
2021-04-02 07:00:05.904462,guardian,1,
2021-04-02 07:00:06.835217,popsci,0,
2021-04-02 07:00:07.175371,healthday,0,
2021-04-02 07:00:07.875356,newsmed,2,
2021-04-02 07:00:08.381273,medpage,1,
2021-04-02 08:00:03.335457,wired,0,
2021-04-02 08:00:03.772141,nyt,0,
2021-04-02 08:00:04.358303,guardian,1,
2021-04-02 08:00:04.877489,popsci,10,
2021-04-02 08:00:05.446449,healthday,0,
2021-04-02 08:00:06.124426,newsmed,3,
2021-04-02 08:00:06.632653,medpage,0,
2021-04-02 09:00:03.503525,wired,0,
2021-04-02 09:00:03.687282,nyt,2,
2021-04-02 09:00:03.951679,guardian,1,
2021-04-02 09:00:04.453716,popsci,0,
2021-04-02 09:00:05.079796,healthday,0,
2021-04-02 09:00:05.853419,newsmed,1,
2021-04-02 09:00:06.334359,medpage,1,
2021-04-02 10:00:03.595880,wired,0,
2021-04-02 10:00:03.798779,nyt,2,
2021-04-02 10:00:04.125593,guardian,1,
2021-04-02 10:00:04.585503,popsci,0,
2021-04-02 10:00:04.885140,healthday,2,
2021-04-02 10:00:05.492722,newsmed,2,
2021-04-02 10:00:05.929081,medpage,1,
2021-04-02 11:00:03.530919,wired,0,
2021-04-02 11:00:03.959290,nyt,0,
2021-04-02 11:00:04.584026,guardian,1,
2021-04-02 11:00:05.097430,popsci,0,
2021-04-02 11:00:05.642139,healthday,0,
2021-04-02 11:00:06.601776,newsmed,0,
2021-04-02 11:00:14.169005,medpage,1,
2021-04-02 12:00:02.835809,wired,1,
2021-04-02 12:00:03.521336,nyt,1,
2021-04-02 12:00:03.840431,guardian,1,
2021-04-02 12:00:04.269064,popsci,0,
2021-04-02 12:00:04.573948,healthday,0,
2021-04-02 12:00:05.412611,newsmed,0,
2021-04-02 12:00:06.104719,medpage,1,
2021-04-02 13:00:03.363321,wired,0,
2021-04-02 13:00:03.860051,nyt,0,
2021-04-02 13:00:04.549409,guardian,1,
2021-04-02 13:00:05.073499,popsci,0,
2021-04-02 13:00:05.667857,healthday,5,
2021-04-02 13:00:06.189627,newsmed,0,
2021-04-02 13:00:06.606264,medpage,1,
2021-04-02 14:00:03.184917,wired,0,
2021-04-02 14:00:05.081229,nyt,2,
2021-04-02 14:00:05.337320,guardian,1,
2021-04-02 14:00:06.323271,popsci,0,
2021-04-02 14:00:06.593124,healthday,1,
2021-04-02 14:00:07.038387,newsmed,0,
2021-04-02 14:00:07.465085,medpage,1,
2021-04-02 15:00:03.421826,wired,0,
2021-04-02 15:00:03.569313,nyt,2,
2021-04-02 15:00:03.811820,guardian,1,
2021-04-02 15:00:04.238681,popsci,0,
2021-04-02 15:00:04.831231,healthday,0,
2021-04-02 15:00:05.811212,newsmed,0,
2021-04-02 15:00:06.518577,medpage,2,
2021-04-02 16:00:03.594103,wired,0,
2021-04-02 16:00:03.745722,nyt,1,
2021-04-02 16:00:04.063002,guardian,2,
2021-04-02 16:00:04.993540,popsci,0,
2021-04-02 16:00:05.313011,healthday,0,
2021-04-02 16:00:06.025674,newsmed,0,
2021-04-02 16:00:06.781377,medpage,2,
2021-04-02 17:00:03.288921,wired,0,
2021-04-02 17:00:03.671784,nyt,0,
2021-04-02 17:00:04.277496,guardian,2,
2021-04-02 17:00:04.790804,popsci,0,
2021-04-02 17:00:05.439117,healthday,0,
2021-04-02 17:00:06.140058,newsmed,0,
2021-04-02 17:00:06.594175,medpage,0,
2021-04-02 18:00:03.725695,wired,0,
2021-04-02 18:00:04.176509,nyt,1,
2021-04-02 18:00:04.783998,guardian,1,
2021-04-02 18:00:05.527137,popsci,0,
2021-04-02 18:00:05.854274,healthday,0,
2021-04-02 18:00:06.246947,newsmed,0,
2021-04-02 18:00:06.729273,medpage,0,
2021-04-02 19:00:03.183759,wired,0,
2021-04-02 19:00:03.393354,nyt,1,
2021-04-02 19:00:03.702208,guardian,0,
2021-04-02 19:00:04.192370,popsci,0,
2021-04-02 19:00:04.482724,healthday,0,
2021-04-02 19:00:04.858575,newsmed,2,
2021-04-02 19:00:05.289869,medpage,0,
2021-04-02 20:00:03.428530,wired,0,
2021-04-02 20:00:03.865279,nyt,1,
2021-04-02 20:00:04.222284,guardian,0,
2021-04-02 20:00:04.650437,popsci,0,
2021-04-02 20:00:05.050787,healthday,0,
2021-04-02 20:00:05.498362,newsmed,4,
2021-04-02 20:00:06.237790,medpage,0,
2021-04-02 21:00:03.224756,wired,0,
2021-04-02 21:00:03.386621,nyt,0,
2021-04-02 21:00:03.725355,guardian,0,
2021-04-02 21:00:04.199262,popsci,0,
2021-04-02 21:00:04.486767,healthday,0,
2021-04-02 21:00:04.871637,newsmed,1,
2021-04-02 21:00:05.347888,medpage,0,
2021-04-02 22:00:03.443687,wired,0,
2021-04-02 22:00:03.871689,nyt,0,
2021-04-02 22:00:04.172457,guardian,0,
2021-04-02 22:00:04.769213,popsci,0,
2021-04-02 22:00:05.426712,healthday,0,
2021-04-02 22:00:06.133457,newsmed,0,
2021-04-02 22:00:06.662667,medpage,0,
2021-04-02 23:00:03.674304,wired,0,
2021-04-02 23:00:03.830829,nyt,0,
2021-04-02 23:00:04.128830,guardian,0,
2021-04-02 23:00:05.043958,popsci,0,
2021-04-02 23:00:05.364010,healthday,0,
2021-04-02 23:00:05.998102,newsmed,0,
2021-04-02 23:00:06.579173,medpage,0,
2021-04-03 00:00:03.109931,wired,0,
2021-04-03 00:00:03.503288,nyt,0,
2021-04-03 00:00:03.955318,guardian,1,
2021-04-03 00:00:04.383687,popsci,0,
2021-04-03 00:00:04.992283,healthday,0,
2021-04-03 00:00:05.682691,newsmed,0,
2021-04-03 00:00:06.284433,medpage,0,
2021-04-03 01:00:02.995078,wired,0,
2021-04-03 01:00:03.142476,nyt,0,
2021-04-03 01:00:03.750462,guardian,1,
2021-04-03 01:00:04.360115,popsci,0,
2021-04-03 01:00:04.692341,healthday,0,
2021-04-03 01:00:05.114624,newsmed,0,
2021-04-03 01:00:05.580604,medpage,0,
2021-04-03 02:00:03.179760,wired,0,
2021-04-03 02:00:03.607242,nyt,0,
2021-04-03 02:00:04.198255,guardian,1,
2021-04-03 02:00:04.709309,popsci,0,
2021-04-03 02:00:05.012265,healthday,0,
2021-04-03 02:00:05.570868,newsmed,0,
2021-04-03 02:00:06.001359,medpage,0,
2021-04-03 03:00:03.322463,wired,0,
2021-04-03 03:00:03.768381,nyt,1,
2021-04-03 03:00:04.039143,guardian,1,
2021-04-03 03:00:05.002915,popsci,0,
2021-04-03 03:00:05.304470,healthday,0,
2021-04-03 03:00:05.735127,newsmed,0,
2021-04-03 03:00:06.138529,medpage,0,
2021-04-03 04:00:03.949251,wired,0,
2021-04-03 04:00:04.404513,nyt,0,
2021-04-03 04:00:05.004790,guardian,1,
2021-04-03 04:00:05.520766,popsci,0,
2021-04-03 04:00:05.840575,healthday,0,
2021-04-03 04:00:06.233887,newsmed,0,
2021-04-03 04:00:06.666643,medpage,0,
2021-04-03 05:00:03.467460,wired,0,
2021-04-03 05:00:03.843376,nyt,1,
2021-04-03 05:00:04.428855,guardian,1,
