id,venue,title,link,summary,published,tags
14,nyt,Countries Tried to Curb Trade in Plastic Waste. The U.S. Is Shipping More.,https://www.nytimes.com/2021/03/12/climate/plastics-waste-export-ban.html,"Data shows that American exporters continue to ship plastic waste overseas, often to poorer countries, even though most of the world has agreed to not accept it.","Fri, 12 Mar 2021 22:42:20 +0000","[{'term': 'Global Warming', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Greenhouse Gas Emissions', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'International Trade and World Market', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Recycling of Waste Materials', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Plastics', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Waste Materials and Disposal', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Ships and Shipping', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Floods', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Corporations', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Basel Action Network', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'Center for International Environmental Law', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'United States', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Malaysia', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Kenya', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Indonesia', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Vietnam', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}]"
15,nyt,This Endangered Bird Lost Its Song in Australia,https://www.nytimes.com/2021/03/17/science/bird-honeyeater-australia.html,New generations of a critically endangered species of songbird are failing to learn the tunes they need for courtship. It could lead to extinction.,"Wed, 17 Mar 2021 10:14:26 +0000","[{'term': 'Birds', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Australia', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Evolution (Biology)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Biodiversity', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]"
16,nyt,Bronze Age Tomb in Spain Hints Women Helped Govern,https://www.nytimes.com/2021/03/11/science/bronze-age-tomb-women.html,A tomb unearthed in Spain has prompted archaeologists to reconsider assumptions about women’s power in Bronze Age European societies.,"Fri, 12 Mar 2021 10:42:47 +0000","[{'term': 'Archaeology and Anthropology', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Tombs and Tombstones', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Women and Girls', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Bronze Age', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Jewels and Jewelry', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Spain', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Antiquity (Journal)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'Research', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'your-feed-science', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]"
17,nyt,They Died Saving Others From Covid. Will Anyone Count Them?,https://www.nytimes.com/2021/03/15/health/covid-medical-workers-deaths.html,Medical workers are called heroes. But there hasn’t been a national reckoning over the many thousands lost to Covid. Here are a few of the people who gave their lives while on the front lines of the pandemic.,"Tue, 16 Mar 2021 16:45:41 +0000","[{'term': 'Workplace Hazards and Violations', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Coronavirus (2019-nCoV)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Nursing and Nurses', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Doctors', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Content Type: Personal Profile', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]"
18,nyt,"New EPA Head, Michael Regan, Says Agency Has Climate Regulations Underway",https://www.nytimes.com/2021/03/15/climate/michael-regan-epa.html,Michael Regan says the E.P.A. is already working on new rules to control planet-warming emissions from cars and power plants.,"Mon, 15 Mar 2021 21:28:34 +0000","[{'term': 'Global Warming', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Greenhouse Gas Emissions', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'United States Politics and Government', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Fuel Emissions (Transportation)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Regulation and Deregulation of Industry', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Environmental Protection Agency', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'Biden, Joseph R Jr', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}, {'term': 'Regan, Michael S (1976- )', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}]"
19,nyt,Los pueblos indígenas podrían encabezar un plan global para conservar la naturaleza,https://www.nytimes.com/es/2021/03/13/espanol/conservacion-30x30-pueblos-indigenas.html,"Decenas de países respaldan un esfuerzo que protegería el 30 por ciento de la tierra y el agua del planeta. Los pueblos indígenas, que a menudo se encuentran entre los administradores más eficaces de la naturaleza, han sido despreciados, o algo peor, en el pasado.","Sat, 13 Mar 2021 14:18:49 +0000","[{'term': 'Conservation of Resources', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Indigenous People', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Biodiversity', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Global Warming', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Environment', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Greenhouse Gas Emissions', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Canada', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Papua New Guinea', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Brazil', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'Land Use Policies', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Amazon Jungle', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}]"
20,guardian,Can you solve it? The art of the puzzle,https://www.theguardian.com/science/2021/feb/22/can-you-solve-it-the-art-of-the-puzzle,"<p>Thinking in and out of the box</p><p><a href=""https://www.theguardian.com/science/2021/feb/22/did-you-solve-it-the-art-of-the-puzzle"">UPDATE: The solutions are now up here</a></p><p>What makes for a great puzzle? Here’s a golden oldie that certainly qualifies.</p><p><strong>The nine dots</strong></p> <a href=""https://www.theguardian.com/science/2021/feb/22/can-you-solve-it-the-art-of-the-puzzle"">Continue reading...</a>","Mon, 22 Feb 2021 07:38:37 GMT","[{'term': 'Mathematics', 'scheme': 'https://www.theguardian.com/education/mathematics', 'label': None}, {'term': 'Mathematics', 'scheme': 'https://www.theguardian.com/science/mathematics', 'label': None}, {'term': 'Education', 'scheme': 'https://www.theguardian.com/education/education', 'label': None}, {'term': 'Science', 'scheme': 'https://www.theguardian.com/science/science', 'label': None}]"
21,guardian,Did you solve it? The art of the puzzle,https://www.theguardian.com/science/2021/feb/22/did-you-solve-it-the-art-of-the-puzzle,"<p>The solutions to today’s artful problems</p><p><a href=""https://www.theguardian.com/science/2021/feb/22/can-you-solve-it-the-art-of-the-puzzle"">Earlier today </a>I set you the following puzzles. The first is a starter problem and the other three were suggested by puzzle guru <a href=""https://robeastaway.com/"">Rob Eastaway.</a></p><p><strong>The nine dots</strong></p> <a href=""https://www.theguardian.com/science/2021/feb/22/did-you-solve-it-the-art-of-the-puzzle"">Continue reading...</a>","Mon, 22 Feb 2021 17:00:05 GMT","[{'term': 'Mathematics', 'scheme': 'https://www.theguardian.com/education/mathematics', 'label': None}, {'term': 'Mathematics', 'scheme': 'https://www.theguardian.com/science/mathematics', 'label': None}, {'term': 'Education', 'scheme': 'https://www.theguardian.com/education/education', 'label': None}, {'term': 'Science', 'scheme': 'https://www.theguardian.com/science/science', 'label': None}]"
22,guardian,Mind your head: scientists discover incredible self-decapitating sea slug – video,https://www.theguardian.com/science/video/2021/mar/09/mind-your-head-scientists-discover-incredible-self-decapitating-sea-slug-video,"<p>Researchers at Japan's Nara Women's University have discovered a new trait exhibited by the sacoglossan sea slug – it has the ability to decapitate itself, then regrow its body. The process, from shedding all of itself below the neck to regrowing a new body, takes less than a month, in an extreme example of a process known as autotomy</p><ul><li><a href=""https://www.theguardian.com/environment/2021/mar/08/keep-your-head-the-self-decapitating-sea-slugs-that-regrow-their-bodies-hearts-and-all"">Keep your head: the self-decapitating sea slugs that regrow their bodies –&nbsp;hearts and all</a></li></ul> <a href=""https://www.theguardian.com/science/video/2021/mar/09/mind-your-head-scientists-discover-incredible-self-decapitating-sea-slug-video"">Continue reading...</a>","Tue, 09 Mar 2021 01:35:20 GMT","[{'term': 'Science', 'scheme': 'https://www.theguardian.com/science/science', 'label': None}, {'term': 'Marine life', 'scheme': 'https://www.theguardian.com/environment/marine-life', 'label': None}, {'term': 'Environment', 'scheme': 'https://www.theguardian.com/environment/environment', 'label': None}, {'term': 'Japan', 'scheme': 'https://www.theguardian.com/world/japan', 'label': None}]"
23,guardian,Doctors suggest Covid-19 could cause diabetes,https://www.theguardian.com/world/2021/mar/19/doctors-suggest-link-between-covid-19-and-diabetes,"<p>More than 350 clinicians report suspicions of Covid-induced diabetes, both type 1 and type 2</p><p>A cohort of scientists from across the world believe that there is a growing body of evidence that Covid-19 can cause diabetes in some patients.</p><p> Prof Francesco Rubino, from King’s College London, is leading the call for a full investigation into a possible link between the two diseases. Having seen a rise in both type 1 and type 2 diabetes in people who have caught coronavirus, some doctors are even considering the possibility that the virus ‒ by disrupting sugar metabolism ‒ could be inducing an entirely new form of diabetes.</p> <a href=""https://www.theguardian.com/world/2021/mar/19/doctors-suggest-link-between-covid-19-and-diabetes"">Continue reading...</a>","Fri, 19 Mar 2021 08:15:27 GMT","[{'term': 'Coronavirus', 'scheme': 'https://www.theguardian.com/world/coronavirus-outbreak', 'label': None}, {'term': 'Diabetes', 'scheme': 'https://www.theguardian.com/society/diabetes', 'label': None}, {'term': 'Doctors', 'scheme': 'https://www.theguardian.com/society/doctors', 'label': None}, {'term': 'Medical research', 'scheme': 'https://www.theguardian.com/science/medical-research', 'label': None}, {'term': 'Health', 'scheme': 'https://www.theguardian.com/society/health', 'label': None}, {'term': 'World news', 'scheme': 'https://www.theguardian.com/world/world', 'label': None}, {'term': 'UK news', 'scheme': 'https://www.theguardian.com/uk/uk', 'label': None}, {'term': 'Society', 'scheme': 'https://www.theguardian.com/society/society', 'label': None}, {'term': 'Science', 'scheme': 'https://www.theguardian.com/science/science', 'label': None}, {'term': 'Infectious diseases', 'scheme': 'https://www.theguardian.com/science/infectiousdiseases', 'label': None}]"
24,guardian,"When depression wears a smile, even psychiatrists like me can be deceived | Rebecca Lawrence",https://www.theguardian.com/commentisfree/2021/mar/18/depression-smile-psychiatrists-mental-health-problems,"<p>By the time mental ill health is visible, it’s probably very bad. The best risk assessment is to listen rather than look</p><p>In my everyday life, when I see someone who looks happy, I expect them to feel like that, too. I don’t think about it particularly – it’s a reflex. I glance casually at a smiling face and am reassured that all is well. It takes a conscious effort to remind myself of a fact that psychiatrists know very well on an intellectual level but should perhaps recognise more: a cheerful demeanour can be profoundly misleading.</p><p>The concept of the “happy” depressive is familiar in art and life, with examples ranging from Pagliaccio to <a href=""https://www.theguardian.com/science/brain-flapping/2015/nov/04/robin-williams-depression-and-dementia-the-clinical-picture"">Robin Williams</a>. It seems strange to think that people can be very depressed – with all the debilitating symptoms that entails – yet manage to hide this, sometimes even from family. Is their depression as real, or as valid, because they manage to go to work, to smile, even to crack a joke? I think it is. There may come a point when even the happy depressive will crack, unable to maintain that facade any longer. But does that mean they suffer less when smiling? No: in fact, the strain of keeping up appearances, the weight of a misplaced sense of responsibility to others, can be one of the most onerous aspects of mental ill health. The loss of the smile may even be a relief.</p> <a href=""https://www.theguardian.com/commentisfree/2021/mar/18/depression-smile-psychiatrists-mental-health-problems"">Continue reading...</a>","Thu, 18 Mar 2021 12:19:59 GMT","[{'term': 'Mental health', 'scheme': 'https://www.theguardian.com/society/mental-health', 'label': None}, {'term': 'UK news', 'scheme': 'https://www.theguardian.com/uk/uk', 'label': None}, {'term': 'Depression', 'scheme': 'https://www.theguardian.com/society/depression', 'label': None}, {'term': 'Psychiatry', 'scheme': 'https://www.theguardian.com/society/psychiatry', 'label': None}, {'term': 'Psychology', 'scheme': 'https://www.theguardian.com/science/psychology', 'label': None}, {'term': 'Society', 'scheme': 'https://www.theguardian.com/society/society', 'label': None}, {'term': 'Science', 'scheme': 'https://www.theguardian.com/science/science', 'label': None}, {'term': 'Health', 'scheme': 'https://www.theguardian.com/society/health', 'label': None}]"
25,guardian,Second vessel in two weeks appears to float above UK waters,https://www.theguardian.com/science/2021/mar/18/pop-up-enabled-ship-hover-dorset-coast-superior-mirage,"<p>‘Superior mirage’ illusion resurfaces in Dorset a fortnight after similar pictures taken near Falmouth <br /></p><p>If the sight of a ship apparently hovering above the sea is a very rare event in the UK, then two in a fortnight must be an even more unlikely occurrence.</p><p>But 13 days after <a href=""https://www.theguardian.com/science/2021/mar/05/ship-hovering-above-sea-cornwall-optical-illusion"">a giant tanker was pictured floating above the water</a> off Cornwall, the effect of an optical illusion known as a <a href=""https://www.theguardian.com/news/2014/jun/23/weatherwatch-castles-air"">superior mirage</a>, similar images emerged of the cruise ship, the Jewel of the Seas, off the Dorset coast.</p> <a href=""https://www.theguardian.com/science/2021/mar/18/pop-up-enabled-ship-hover-dorset-coast-superior-mirage"">Continue reading...</a>","Thu, 18 Mar 2021 15:56:57 GMT","[{'term': 'Science', 'scheme': 'https://www.theguardian.com/science/science', 'label': None}, {'term': 'Bournemouth', 'scheme': 'https://www.theguardian.com/uk/bournemouth', 'label': None}, {'term': 'UK news', 'scheme': 'https://www.theguardian.com/uk/uk', 'label': None}, {'term': 'Meteorology', 'scheme': 'https://www.theguardian.com/science/meteorology', 'label': None}, {'term': 'Oceans', 'scheme': 'https://www.theguardian.com/environment/oceans', 'label': None}]"
26,guardian,Patrick Vallance: the adviser who spoke scientific truth to power,https://www.theguardian.com/uk-news/2021/mar/19/patrick-vallance-adviser-scientific-truth-to-power,"<p>The UK’s chief scientific adviser loves good food, enjoys a Scandi drama – and has been called ‘the richest civil servant in history’</p><p>Sir Patrick Vallance spent his 60th birthday at a podium in Downing Street, flanking Boris Johnson.</p><p>Whatever plans he had were scrapped.</p> <a href=""https://www.theguardian.com/uk-news/2021/mar/19/patrick-vallance-adviser-scientific-truth-to-power"">Continue reading...</a>","Fri, 19 Mar 2021 13:37:04 GMT","[{'term': 'Patrick Vallance', 'scheme': 'https://www.theguardian.com/uk-news/patrick-vallance', 'label': None}, {'term': 'Politics', 'scheme': 'https://www.theguardian.com/politics/politics', 'label': None}, {'term': 'Science', 'scheme': 'https://www.theguardian.com/science/science', 'label': None}, {'term': 'UK news', 'scheme': 'https://www.theguardian.com/uk/uk', 'label': None}, {'term': 'Coronavirus', 'scheme': 'https://www.theguardian.com/world/coronavirus-outbreak', 'label': None}, {'term': 'Infectious diseases', 'scheme': 'https://www.theguardian.com/science/infectiousdiseases', 'label': None}, {'term': 'Medical research', 'scheme': 'https://www.theguardian.com/science/medical-research', 'label': None}, {'term': 'GlaxoSmithKline', 'scheme': 'https://www.theguardian.com/business/glaxosmithkline', 'label': None}, {'term': 'Business', 'scheme': 'https://www.theguardian.com/business/business', 'label': None}, {'term': 'Pharmaceuticals industry', 'scheme': 'https://www.theguardian.com/business/pharmaceuticals-industry', 'label': None}, {'term': 'Microbiology', 'scheme': 'https://www.theguardian.com/science/microbiology', 'label': None}, {'term': 'NHS', 'scheme': 'https://www.theguardian.com/society/nhs', 'label': None}, {'term': 'Health', 'scheme': 'https://www.theguardian.com/society/health', 'label': None}, {'term': 'Society', 'scheme': 'https://www.theguardian.com/society/society', 'label': None}, {'term': 'Civil service', 'scheme': 'https://www.theguardian.com/politics/civil-service', 'label': None}]"
