id,source,channel,url,published,modified,section,keywords,authors,title,canonical_url,success,error_msg,url_id
24,ifls,twitter,https://www.iflscience.com/plants-and-animals/american-honey-contains-radioactive-isotope-from-cold-war-atomic-bomb-testing/,2021-04-21T15:38:00,NaT,Plants and Animals,"cold, honey, american, bomb, atomic, contains, test, war, cesium137, radioactive, testing, north, potassium, research, levels, isotope, kaste",Jack Dunhill,American Honey Contains Radioactive Isotope From Cold War Atomic Bomb Testing,https://www.iflscience.com/plants-and-animals/american-honey-contains-radioactive-isotope-from-cold-war-atomic-bomb-testing/,True,,
26,ifls,twitter,https://www.iflscience.com/editors-blog/35-years-on-what-caused-the-chernobyl-nuclear-disaster/,2021-04-26T15:55:00,NaT,Editor's Blog,"water, nuclear, plant, safety, chernobyl, test, reactor, power, 35, caused, steam, control, disaster",Tom Hale,"35 Years On, What Caused The Chernobyl Nuclear Disaster?",https://www.iflscience.com/editors-blog/35-years-on-what-caused-the-chernobyl-nuclear-disaster/,True,,
28,ifls,twitter,https://www.iflscience.com/plants-and-animals/an-icebreaker-playing-classical-music-saved-2000-beluga-whales-from-certain-death-in-1985/,2021-03-26T17:25:00,NaT,Plants and Animals,"death, moskva, whales, thick, russia, classical, music, certain, 2000, animals, beluga, ship, mission, icebreaker, saved, playing, ice",Rachael Funnell,"An Icebreaker Playing Classical Music Saved 2,000 Beluga Whales From Certain Death In 1985",https://www.iflscience.com/plants-and-animals/an-icebreaker-playing-classical-music-saved-2000-beluga-whales-from-certain-death-in-1985/,True,,
29,ifls,twitter,https://www.iflscience.com/space/this-is-how-ancient-people-knew-the-earth-was-round/,2021-03-30T16:54:00,NaT,Space,"length, greek, circumference, knew, round, alexandria, earth, rod, syene, ancient, shadow, tropic, stadia",Dr Alfredo Carpineti,This Is How Ancient People Knew The Earth Was Round,https://www.iflscience.com/space/this-is-how-ancient-people-knew-the-earth-was-round/,True,,
30,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91775,2021-03-23T16:15:00,NaT,Blogs,"at risk for infection,immunodeficiency disorder,pain,infectious disease,human immunodeficiency virus infection","Martin  Makary MD, MPH",'It's Kind of a Catch-22': Immunosuppression and COVID-19 Vaccines,https://www.medpagetoday.com/blogs/marty-makary/91775,True,,
31,medpage,rss,https://www.medpagetoday.com/special-reports/exclusives/91907,2021-04-01T18:30:00,NaT,Special Reports,"weight increased,fatigue",Jennifer  Henderson,This Tactic Helps Hospitals Ease Merger Scrutiny,https://www.medpagetoday.com/special-reports/exclusives/91907,True,,
32,medpage,rss,https://www.medpagetoday.com/hematologyoncology/myeloma/91850,2021-03-29T13:30:00,NaT,Oncology&#47;Hematology,"multiple myeloma,chronic myeloid leukemia, disease,influenza,lymphoproliferative disorder,myeloma",Charles  Bankhead,FDA Approves CAR T-Cell Therapy for Multiple Myeloma,https://www.medpagetoday.com/hematologyoncology/myeloma/91850,True,,
33,medpage,rss,https://www.medpagetoday.com/publichealthpolicy/generalprofessionalissues/92164,2021-04-19T19:00:00,NaT,Public Health & Policy,"arrhythmia,ventricular fibrillation,drug abuse,pulseless electrical activity,hypertension","W. Robert  Graham, MD",Op-Ed: Medical Misinfo on Display During Derek Chauvin Trial,https://www.medpagetoday.com/publichealthpolicy/generalprofessionalissues/92164,True,,
34,medpage,rss,https://www.medpagetoday.com/practicemanagement/telehealth/92049,2021-04-12T15:00:00,NaT,Practice Management,"psychotic disorder,COVID-19,covid,covid-19","Jessica Badichek, PharmD",Op-Ed: Prescribe More Telehealth for the Elderly,https://www.medpagetoday.com/practicemanagement/telehealth/92049,True,,
35,medpage,rss,https://www.medpagetoday.com/special-reports/exclusives/92322,2021-04-28T18:00:00,NaT,Special Reports,"psychosis,psychotic,dementia,mental impairment",Kara  Grant,Four Sentenced in Mental Health Center Scam,https://www.medpagetoday.com/special-reports/exclusives/92322,True,,
36,medpage,rss,https://www.medpagetoday.com/casestudies/oncologyhematology/91750,2021-03-22T15:00:00,NaT,Case Studies,"lung cancer,neoplastic disease,mass of body structure,malignant adenomatous neoplasm,adenocarcinoma",Kate  Kneisel,Where Did This Very Painful Gluteal Mass Come From?,https://www.medpagetoday.com/casestudies/oncologyhematology/91750,True,,
37,medpage,rss,https://www.medpagetoday.com/neurology/headtrauma/91949,2021-04-06T11:00:00,NaT,Neurology,"concussion,concussion injury of brain,post-traumatic stress disorder,depression,mild traumatic brain injury",Judy  George,Women Fare Worse After Concussion,https://www.medpagetoday.com/neurology/headtrauma/91949,True,,
38,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91946,2021-04-06T09:00:00,NaT,Infectious Disease,"COVID,COVID-19,hypoparathyroidism,alcohol-induced organic mental disorder,drug dependence",Ian  Ingram,"40,000 Kids Lose Parent to COVID; Tsk-Tsk, Walgreens; Singing the Virus",https://www.medpagetoday.com/infectiousdisease/covid19/91946,True,,
39,medpage,rss,https://www.medpagetoday.com/meetingcoverage/endo/91808,2021-03-25T15:30:00,NaT,Meeting Coverage,"cushing's syndrome,adrenal hypofunction,hypogonadism,COVID-19,secondary adrenal insufficiency",Kristen  Monaco,"ENDO 2021 Roundup: Jatenzo Liver Data, Adrenal Insufficiency, and More",https://www.medpagetoday.com/meetingcoverage/endo/91808,True,,
40,newsmed,rss,https://www.news-medical.net/news/20210414/Study-demonstrates-that-the-main-creators-of-SARS-CoV-2-mutations-are-vaccine-suppressed.aspx,2021-04-14T01:48:00-04:00,2021-04-14T01:48:00-04:00,Medical,"SARS, SARS-CoV-2, Vaccine, ACE2, Angiotensin, Angiotensin-Converting Enzyme 2, Antibodies, Antibody, binding affinity, Cell, Chronic, Convalescent Plasma, Coronavirus, Coronavirus Disease COVID-19, ECMO, Enzyme, Frequency, Genomic, Hospital, Immune Response, Immunization, Mutation, Prednisone, Protein, Receptor, Research, Respiratory, Severe Acute Respiratory, Severe Acute Respiratory Syndrome, Spike Protein, Syndrome, Tacrolimus, Virus","Dr. Liji Thomas, MD",Study demonstrates that the main creators of SARS-CoV-2 mutations are vaccine-suppressed,https://www.news-medical.net/news/20210414/Study-demonstrates-that-the-main-creators-of-SARS-CoV-2-mutations-are-vaccine-suppressed.aspx,True,,
41,newsmed,rss,https://www.news-medical.net/news/20210409/Adaptive-cognitive-training-program-can-benefit-children-with-sickle-cell-disease.aspx,2021-04-09T00:45:00-04:00,2021-04-09T00:45:00-04:00,Medical,"Cell, Children, Hospital, pH, Psychology, Research, Sickle Cell Disease","Emily Henderson, B.Sc.",Adaptive cognitive training program can benefit children with sickle cell disease,https://www.news-medical.net/news/20210409/Adaptive-cognitive-training-program-can-benefit-children-with-sickle-cell-disease.aspx,True,,
42,newsmed,rss,https://www.news-medical.net/news/20210409/Study-Even-short-term-exposure-to-ambient-CO-levels-can-increase-mortality.aspx,2021-04-09T00:00:00-04:00,2021-04-09T00:00:00-04:00,Medical,"Carbon Monoxide, Mortality, Public Health, Research","Emily Henderson, B.Sc.",Study: Even short-term exposure to ambient CO levels can increase mortality,https://www.news-medical.net/news/20210409/Study-Even-short-term-exposure-to-ambient-CO-levels-can-increase-mortality.aspx,True,,
43,newsmed,rss,https://www.news-medical.net/news/20210405/Lets-Talk-About-Cell-Migration-Assays.aspx,2021-04-05T10:08:00-04:00,2021-04-01T10:43:00-04:00,Life Sciences,"Cell, Cell Migration, Assay, Cancer, Embryogenesis, in vitro","Platypus Technologies, LLC",Let's Talk About Cell Migration Assays,https://www.news-medical.net/news/20210405/Lets-Talk-About-Cell-Migration-Assays.aspx,True,,
44,newsmed,rss,https://www.news-medical.net/news/20210407/Which-SARS-CoV-2-spike-mutants-can-evade-T-cell-immunity.aspx,2021-04-07T09:20:00-04:00,2021-04-07T09:19:00-04:00,Medical,"Cell, Coronavirus Disease COVID-19, SARS, SARS-CoV-2, ACE2, Allele, Angiotensin, Angiotensin-Converting Enzyme 2, Antigen, binding affinity, Coronavirus, Enzyme, Mortality, Mutation, Pandemic, Protein, Public Health, Receptor, Respiratory, Severe Acute Respiratory, Severe Acute Respiratory Syndrome, Spike Protein, Syndrome, Virus","Dr. Liji Thomas, MD",Which SARS-CoV-2 spike mutants can evade T cell immunity?,https://www.news-medical.net/news/20210407/Which-SARS-CoV-2-spike-mutants-can-evade-T-cell-immunity.aspx,True,,
45,newsmed,rss,https://www.news-medical.net/news/20210406/New-exosome-coated-stent-repairs-damaged-tissue-heals-vascular-injury.aspx,2021-04-06T00:09:00-04:00,2021-04-06T10:24:00-04:00,Medical,"Exosome, Stent, Vascular, Angioplasty, Blood, Blood Vessel, Blood Vessels, Cell, Drugs, Exosomes, Heart, Mesenchymal Stem Cells, Muscle, Oxygen, Proliferation, Research, Restenosis, Stem Cells","Emily Henderson, B.Sc.","New exosome-coated stent repairs damaged tissue, heals vascular injury",https://www.news-medical.net/news/20210406/New-exosome-coated-stent-repairs-damaged-tissue-heals-vascular-injury.aspx,True,,
46,newsmed,rss,https://www.news-medical.net/news/20210415/Adults-with-periodontitis-transmit-bacteria-that-can-later-cause-the-disease-in-their-children.aspx,2021-04-15T01:54:00-04:00,2021-04-15T01:54:00-04:00,Medical,"Bacteria, Children, Periodontitis, Anti-Inflammatory, Baby, Bleeding, Bone, Drugs, Halitosis, Hygiene, Inflammation, Inflammatory Disease, Pandemic, Research, Teeth","Emily Henderson, B.Sc.",Adults with periodontitis transmit bacteria that can later cause the disease in their children,https://www.news-medical.net/news/20210415/Adults-with-periodontitis-transmit-bacteria-that-can-later-cause-the-disease-in-their-children.aspx,True,,
47,newsmed,rss,https://www.news-medical.net/news/20210427/New-study-looks-at-the-impact-of-Covid-19-pandemic-on-UK-healthcare.aspx,2021-04-27T02:54:00-04:00,2021-04-27T02:54:00-04:00,Medical,"Healthcare, Pandemic, Coronavirus, Health Care, Hospital, Medical School, Research","Emily Henderson, B.Sc.",New study looks at the impact of Covid-19 pandemic on UK healthcare,https://www.news-medical.net/news/20210427/New-study-looks-at-the-impact-of-Covid-19-pandemic-on-UK-healthcare.aspx,True,,
48,newsmed,rss,https://www.news-medical.net/news/20210401/Signal-detection-theory-can-be-used-to-better-understand-cognitive-fatigue.aspx,2021-04-01T21:04:00-04:00,2021-04-01T21:04:00-04:00,Medical,"Fatigue, Brain, Multiple Sclerosis, Neuroimaging, Psychology, Research, Sclerosis","Emily Henderson, B.Sc.",Signal detection theory can be used to better understand cognitive fatigue,https://www.news-medical.net/news/20210401/Signal-detection-theory-can-be-used-to-better-understand-cognitive-fatigue.aspx,True,,
49,newsmed,rss,https://www.news-medical.net/news/20210412/More-than-100-economies-receive-life-saving-COVID-19-vaccines-from-COVAX.aspx,2021-04-12T01:02:00-04:00,2021-04-12T01:02:00-04:00,Medical,"Cold, Cold chain, Immunization, Manufacturing, Mutation, Pandemic, Vaccine, Virus","Emily Henderson, B.Sc.",More than 100 economies receive life-saving COVID-19 vaccines from COVAX,https://www.news-medical.net/news/20210412/More-than-100-economies-receive-life-saving-COVID-19-vaccines-from-COVAX.aspx,True,,
50,nyt,rss,https://www.nytimes.com/2021/03/05/science/biggest-glowing-shark.html,2021-03-05T10:00:19+00:00,2021-03-30T17:51:48.593000+00:00,Science,"Shark,Light,Hormone,Animal Behavior,Frontiers in Marine Science,New Zealand,Research,your-feed-science,your-feed-animals",Lesley Evans Ogden,Largest Glowing Shark Species Discovered Near New Zealand,https://www.nytimes.com/2021/03/05/science/biggest-glowing-shark.html,True,,
51,nyt,rss,https://www.nytimes.com/2021/03/25/health/jama-bauchner-race-medicine.html,2021-03-25T23:50:05+00:00,2021-03-26T21:29:23+00:00,Health,"Howard Bauchner,Journal of the American Medical Assn,AMA,Discrimination,Race and Ethnicity,Black People;African American;African-American,Podcast,Ed Livingston,Academic and Scientific Journals,your-feed-science",Apoorva Mandavilli,JAMA Editor Placed on Leave After Deputy’s Comments on Racism,https://www.nytimes.com/2021/03/25/health/jama-bauchner-race-medicine.html,True,,
52,nyt,rss,https://www.nytimes.com/2021/04/01/health/unitedhealthcare-insurance-doctors.html,2021-04-01T21:19:10+00:00,2021-04-01T22:06:40+00:00,Health,"Doctor,UnitedHealth Group,Health Insurance,Lawsuits,Anesthesia,Hospital,U.S. Anesthesia Partners,Colorado,Texas,your-feed-healthcare",Reed Abelson,Doctors Accuse UnitedHealthcare of Stifling Competition,https://www.nytimes.com/2021/04/01/health/unitedhealthcare-lawsuit.html,True,,
53,nyt,rss,https://www.nytimes.com/2021/04/22/science/nasa-spacex-launch-time-today.html,2021-04-23T05:48:40+00:00,2021-05-01T17:12:57.515000+00:00,Science,,Kenneth Chang,Highlights From SpaceX’s Launch of 4 Astronauts for NASA,https://www.nytimes.com/live/2021/04/23/science/spacex-nasa-launch,True,,
54,nyt,rss,https://www.nytimes.com/2021/04/21/science/birds-tanagers-mating-color.html,2021-04-21T09:00:28+00:00,2021-04-21T09:00:28+00:00,Science,"your-feed-science,Animal Behavior,Birds,Feather,Color,Evolution,your-feed-animals",Emily Anthes,"Some Male Birds Fly Under False Colors to Attract Mates, Study Suggests",https://www.nytimes.com/2021/04/21/science/birds-tanagers-mating-color.html,True,,
55,nyt,rss,https://www.nytimes.com/2021/04/01/health/pandemics-plague-history-resilience.html,2021-04-01T09:00:26+00:00,2021-04-01T09:00:26+00:00,Health,"Epidemic;Pandemic,Coronavirus;COVID-19,Economy,Income Inequality,History,England,Europe,South Africa,US",Anna North,What the History of Pandemics Can Teach Us About Resilience,https://www.nytimes.com/2021/04/01/health/pandemics-plague-history-resilience.html,True,,
56,nyt,rss,https://www.nytimes.com/2021/03/06/at-home/grow-seedlings-with-newspaper.html,2021-03-07T04:58:07.744000+00:00,2021-03-07T04:58:07.744000+00:00,At Home,"Shelter-in-Place (Lifestyle);Social Distancing,Service Content,Seed,Handicraft,Gardens and Gardening,Flowers and Plants",Jodi Levine,Start Your Seeds in Yesterday’s News,https://www.nytimes.com/2021/03/06/at-home/grow-seedlings-with-newspaper.html,True,,
57,nyt,rss,https://www.nytimes.com/2021/03/14/health/Covid-schools-social-distancing-3-feet.html,2021-03-14T20:44:59+00:00,2021-03-15T03:26:49+00:00,Health,"Internal tag to designate essential content,Coronavirus Reopenings,K-12 Education,Coronavirus;COVID-19,Research,Children",Roni Caryn Rabin,"A new study suggests 3 feet, not 6 feet, is sufficient distance for school students, with mask-wearing and other safety measures kept in place.",https://www.nytimes.com/2021/03/14/health/Covid-schools-social-distancing-3-feet.html,True,,
58,nyt,rss,https://www.nytimes.com/2021/04/06/health/trachea-transplant-genden.html,2021-04-06T07:00:11+00:00,2021-04-06T07:00:11+00:00,Health,",Medical device,Surgery,Transplants,Organ donation,Mount Sinai Medical Center,Paolo Macchiarini,Eric M. Genden Sr.,your-feed-science,Neck",Pam Belluck,‘There Was Nothing Anybody Could Do for These Patients.’ Now There Is.,https://www.nytimes.com/2021/04/06/health/trachea-transplant-genden.html,True,,
61,popsci,twitter,https://www.popsci.com/story/science/popsci-spring-2021-digital-issue/?taid=6088f9ef4c02f00001e00966&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter,2021-04-27T12:23:05+00:00,2021-04-27T12:53:11+00:00,Science,"calm, popular science magazine, Science, spring 2021, subscription apps",Corinne Iozzio,PopSci's spring issue is available now—and it's all digital,https://www.popsci.com/story/science/popsci-spring-2021-digital-issue/,True,,
62,popsci,twitter,https://www.popsci.com/story/environment/how-pandemic-impacted-animals/?taid=6040e7e6f52f320001733a64&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter,2021-03-04T11:00:00+00:00,2021-04-26T06:25:44+00:00,Environment,"COVID-19, ecotourism, humans, pandemic, tourism",Ula Chrobak,How the pandemic has helped and hurt animals around the world,https://www.popsci.com/story/environment/how-pandemic-impacted-animals/,True,,
64,popsci,twitter,https://www.popsci.com/story/science/hamster-ball-robot-explore-moon-caves/?taid=606a44fac8c94b0001856e03&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter,2021-04-02T17:00:00+00:00,2021-04-02T19:52:39+00:00,Space,"ESA, Science",Leto Sapunar,Real-life BB-8 ‘hamster ball’ robot may one day map moon caves,https://www.popsci.com/story/science/hamster-ball-robot-explore-moon-caves/,True,,
66,popsci,twitter,https://www.popsci.com/story/science/weirdest-thing-brain-wash-sleep-cuttlefish-marshmallow-meteorite-amnh/?taid=60526dddca415e000128c093&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter,2021-03-17T10:00:00+00:00,2021-04-26T06:15:40+00:00,Science,"Brain Science, cephalopods, cuttlefish, history, intelligence",Popsci Staff,You get brainwashed whenever you go to sleep (and that’s a good thing),https://www.popsci.com/story/science/weirdest-thing-brain-wash-sleep-cuttlefish-marshmallow-meteorite-amnh/,True,,
67,popsci,twitter,https://www.popsci.com/story/health/how-long-wear-masks-covid/?taid=604c6305eaf59800011ce971&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter,2021-03-12T11:00:00+00:00,2021-04-26T06:18:36+00:00,Science,"coronavirus, COVID-19, epidemiology, first 100 days, Health",Eleanor Cummins,How long will we keep wearing masks?,https://www.popsci.com/story/health/how-long-wear-masks-covid/,True,,
69,popsci,twitter,https://www.popsci.com/story/diy/whois-lookup-explained/?taid=6053954aa8e0d30001b4be6c&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter,2021-03-18T16:45:15+00:00,2021-04-26T06:14:38+00:00,DIY,"browsers, DIY, Internet, research, tech",John Kennedy,This free tool can reveal who is behind any internet domain,https://www.popsci.com/story/diy/whois-lookup-explained/,True,,
70,wired,rss,https://www.wired.com/story/how-far-away-from-perseverance-did-descent-stage-land,2021-03-03T09:00:00,NaT,Science,"science,physics and math,video analysis,acceleration,python,dot physics,estimation,web",Rhett Allain,How Far Away From Perseverance Did the Descent Stage Land?,https://www.wired.com/story/how-far-away-from-perseverance-did-descent-stage-land/,True,,
71,wired,rss,https://www.wired.com/story/were-vaccinated-everyone-wants-to-visit-now-what,2021-03-05T07:00:00,NaT,Science,"science,health,covid-19,coronavirus,vaccines,epidemiology,public health,web",Adam Rogers,You're Vaccinated and People Want to Visit. Now What?,https://www.wired.com/story/were-vaccinated-everyone-wants-to-visit-now-what/,True,,
72,wired,rss,https://www.wired.com/story/weird-science-of-loneliness-brains,2021-03-30T09:00:00,NaT,Science,"science,psychology and neuroscience,health,wired uk,neuroscience,mental health,brains and behavior,diseases,external_partner","Matt Reynolds, WIRED UK",The Weird Science of Loneliness and Our Brains,https://www.wired.co.uk/article/lockdown-loneliness-neuroscience,True,,
